Sample_ID,Site,site_season,Sample_Type,Sample_Date,Season,Wet_Dry_Season,Sample_Time,Temperature_C,Conductivity_uS_cm,Dissolved_Oxygen_mg_L,pH,Turbidity_NTU,E_coli_MPN_100_mL,Log10_E_coli_MPN_100_ml,HF183MGB_GC_100_mL,Log_HF183MGB_GC_100_mL,E_Coli_GC_100_mL,Log_E_Coli_GC_100_mL,DG3_GC_100_mL,Log_DG3_GC_100_mL,Salmonella_Presence_Absence,Stx2_Presence_Absence,24_hr_Precipitation_in,48_hr_Precipitation_in,72_hr_Precipitation_in,Rain_Intensity_24_hr_prior_in_hr,Rain_Intensity_48_hr_prior_in_hr,Rain_Intensity_72_hr_prior_in_hr,Impervious_Percent,Forest_Percent,Grasslands_Percent
PC77,Grove Park,Grove Park_Wet,GrbW,2/23/2016,Winter,Wet,1235,13.2,93.9,9.9,7.47,NA,"3,269",3.5,"230,513",5.4,"140,237",5.1,"2,905",3.5,P,P,1.01,1.11,1.14,0.042,0.023,0.016,48.8,11.2,0.0
PC79,North Ave,North Ave_Wet,GrbW,2/23/2016,Winter,Wet,1255,14.4,112,9.5,7.5,NA,"10,781",4.0,"1,374,397",6.1,"148,014",5.2,"7,165",3.9,A,A,1.01,1.12,1.15,0.042,0.023,0.016,77.0,1.2,0.0
PC80,North Ave CSO,North Ave CSO_Wet,GrbW,2/23/2016,Winter,Wet,1312,13.5,113.9,8.25,7.54,NA,"1,288",3.1,"2,914",3.5,"27,087",4.4,"2,357",3.4,A,A,1.01,1.13,1.16,0.042,0.024,0.016,93.7,0.3,0.0
PC81,Lindsay Street,Lindsay Street_Wet,GrbW,2/23/2016,Winter,Wet,1322,15.3,246.6,7.12,7.01,NA,"1,118",3.0,"7,436",3.9,"17,328",4.2,LOQ,3.0,A,A,1.01,1.13,1.16,0.042,0.024,0.016,94.5,0.0,0.0
PC82,Greensferry,Greensferry_Wet,GrbW,2/23/2016,Winter,Wet,1335,14.9,594,9.05,7.16,NA,"15,420",4.2,"9,413,933",7.0,"211,586",5.3,"4,289",3.6,A,A,1.01,1.13,1.16,0.042,0.024,0.016,83.8,0.4,0.0
PC83,Burbank,Burbank_Wet,GrbW,2/23/2016,Winter,Wet,1345,13.9,104.8,9.69,7.57,NA,"1,715",3.2,"47,475",4.7,"25,592",4.4,"3,097",3.5,P,P,1.01,1.13,1.16,0.042,0.024,0.016,68.7,1.4,0.0
PC85,Northwest,Northwest_Wet,GrbW,3/8/2016,Winter,Wet,1120,12.3,210.5,12.28,7.84,NA,568,2.8,"4,795",3.7,"5,463",3.7,ND,0.0,A,P,0,0,0,0.000,0.000,0.000,59.0,13.9,0.9
PC86,Lillian Cooper Park,Lillian Cooper Park_Wet,GrbW,3/8/2016,Winter,Wet,1128,12.3,117.5,9.41,7.28,NA,133,2.1,ND,0.0,"11,912",4.1,ND,0.0,P,A,0,0,0,0.000,0.000,0.000,47.8,21.3,0.0
PC87,James Jackson,James Jackson_Wet,GrbW,3/8/2016,Winter,Wet,1143,12.6,204.6,14.09,7.7,NA,181,2.3,"10,407",4.0,"8,068",3.9,ND,0.0,A,P,0,0,0,0.000,0.000,0.000,60.1,13.1,1.0
PC88,Spring Street,Spring Street_Wet,GrbW,3/8/2016,Winter,Wet,1155,12.7,139.7,11.76,7.86,NA,397,2.6,"55,730",4.7,"12,865",4.1,ND,0.0,A,A,0,0,0,0.000,0.000,0.000,41.8,21.9,0.7
PC89,Kerry Circle,Kerry Circle_Wet,GrbW,3/8/2016,Winter,Wet,1215,13.8,254.4,14.08,7.6,NA,188,2.3,"12,115",4.1,"15,044",4.2,ND,0.0,A,P,0,0,0,0.000,0.000,0.000,69.7,8.6,1.0
PC90,Hortense,Hortense_Wet,GrbW,3/8/2016,Winter,Wet,1228,14.2,212.3,12.53,7.83,NA,559,2.7,"69,382",4.8,"27,847",4.4,ND,0.0,A,A,0,0,0,0.000,0.000,0.000,77.3,4.1,0.2
PC91,Grove Park,Grove Park_Wet,GrbW,3/8/2016,Winter,Wet,1238,13.9,162.5,11.16,7.84,NA,462,2.7,"7,235",3.9,"19,561",4.3,LOQ,3.0,A,A,0,0,0,0.000,0.000,0.000,48.8,11.2,0.0
PC93,North Ave,North Ave_Wet,GrbW,3/8/2016,Winter,Wet,1254,18,231.1,11.29,8.35,NA,"10,209",4.0,"362,829",5.6,"221,897",5.3,ND,0.0,P,A,0,0,0,0.000,0.000,0.000,77.0,1.2,0.0
PC94,Lindsay Street,Lindsay Street_Wet,GrbW,3/8/2016,Winter,Wet,1311,18.1,390,9.25,7.32,NA,514,2.7,"5,973",3.8,"4,183",3.6,ND,0.0,P,A,0,0,0,0.000,0.000,0.000,94.5,0.0,0.0
PC95,Greensferry,Greensferry_Wet,GrbW,3/8/2016,Winter,Wet,1322,16.5,257.6,8.99,7.36,NA,"16,574",4.2,"1,271,870",6.1,"578,661",5.8,LOQ,3.0,A,A,0,0,0,0.000,0.000,0.000,83.8,0.4,0.0
PC96,Burbank,Burbank_Wet,GrbW,3/8/2016,Winter,Wet,1332,16.4,158.7,12.56,8.09,NA,510,2.7,"5,537",3.7,"6,685",3.8,ND,0.0,A,P,0,0,0,0.000,0.000,0.000,68.7,1.4,0.0
PC100,James Jackson,James Jackson_Wet,GrbW,3/22/2016,Spring,Wet,1145,10.4,203.8,12.48,,1.78,621,2.8,"32,847",4.5,"35,569",4.6,ND,0.0,A,P,0,0,0,0.000,0.000,0.000,60.1,13.1,1.0
PC101,Spring Street,Spring Street_Wet,GrbW,3/22/2016,Spring,Wet,1200,11.2,118.8,14.02,,3.85,178,2.3,"51,230",4.7,"21,045",4.3,ND,0.0,A,A,0,0,0,0.000,0.000,0.000,41.8,21.9,0.7
PC102,Kerry Circle,Kerry Circle_Wet,GrbW,3/22/2016,Spring,Wet,1215,11.3,244.5,14.21,,2.09,301,2.5,"28,948",4.5,"23,400",4.4,ND,0.0,A,A,0,0,0,0.000,0.000,0.000,69.7,8.6,1.0
PC103,Hortense,Hortense_Wet,GrbW,3/22/2016,Spring,Wet,1230,11.9,194.4,12.8,,1.2,363,2.6,"65,487",4.8,"27,326",4.4,ND,0.0,A,A,0,0,0,0.000,0.000,0.000,77.3,4.1,0.2
PC104,Grove Park,Grove Park_Wet,GrbW,3/22/2016,Spring,Wet,1239,11.9,153.2,11.4,,1.84,366,2.6,"4,562",3.7,"11,419",4.1,ND,0.0,P,P,0,0,0,0.000,0.000,0.000,48.8,11.2,0.0
PC106,North Ave,North Ave_Wet,GrbW,3/22/2016,Spring,Wet,1300,17.3,230.8,9.86,,1.36,"1,275",3.1,"554,371",5.7,"141,183",5.1,"16,392",4.2,A,A,0,0,0,0.000,0.000,0.000,77.0,1.2,0.0
PC107,North Ave CSO,North Ave CSO_Wet,GrbW,3/22/2016,Spring,Wet,1309,9,452,11.38,,0.75,154,2.2,ND,0.0,ND,0.0,ND,0.0,,,0,0,0,0.000,0.000,0.000,93.7,0.3,0.0
PC108,Lindsay Street,Lindsay Street_Wet,GrbW,3/22/2016,Spring,Wet,1322,17.6,369.3,8.83,,5.92,458,2.7,"27,455",4.4,"20,658",4.3,ND,0.0,P,P,0,0,0,0.000,0.000,0.000,94.5,0.0,0.0
PC109,Greensferry,Greensferry_Wet,GrbW,3/22/2016,Spring,Wet,1333,17.2,260.1,7.33,,1.73,"9,974",4.0,"3,779,528",6.6,"537,135",5.7,"19,470",4.3,A,P,0,0,0,0.000,0.000,0.000,83.8,0.4,0.0
PC110,Burbank,Burbank_Wet,GrbW,3/22/2016,Spring,Wet,1345,14.8,147.7,13.03,,0.84,860,2.9,"34,544",4.5,"17,776",4.2,ND,0.0,A,A,0,0,0,0.000,0.000,0.000,68.7,1.4,0.0
PC98,Northwest,Northwest_Wet,GrbW,3/22/2016,Spring,Wet,1116,10.3,210.5,13.18,,1.66,609,2.8,"17,970",4.3,"13,184",4.1,ND,0.0,A,A,0,0,0,0.000,0.000,0.000,59.0,13.9,0.9
